 AI Road Intelligence for Indian Autonomous Driving — Traffic Dataset,,,,,,,,,,,,,,,,
Object Class,Road Condition,Time of Day,Weather,City Zone,Distance (m),Confidence,Speed (km/h),BBox X (px),BBox Y (px),BBox W (px),BBox H (px),Lane Discipline,Pothole Severity,Visibility (m),Danger Score,Hazardous?
autorickshaw,construction,afternoon,dusty,hyderabad_highway,14.25,0.780,26.90,294.9,328.1,106.0,115.0,0.420,6.02,42.50,39.56,NO
motorcycle,damaged_edge,evening_rush,rainy,bangalore_tech,16.99,0.738,20.30,868.3,398.0,77.2,80.7,0.092,6.65,28.60,49.06,YES
motorcycle,construction,night,clear,kolkata_old,10.37,0.720,44.20,334.4,365.0,87.4,88.5,0.238,5.38,77.60,35.33,NO
motorcycle,damaged_edge,night,hazy,kolkata_old,13.57,0.687,44.80,615.9,616.0,75.1,64.7,0.064,6.38,47.60,45.74,YES
car,pothole_light,dawn,foggy,hyderabad_highway,15.24,0.901,24.30,988.8,269.1,199.6,224.8,0.581,3.66,15.00,32.70,NO
motorcycle,pothole_heavy,afternoon,foggy,bangalore_tech,6.61,0.723,44.10,60.7,467.9,57.3,56.3,0.252,9.88,22.90,62.89,YES
motorcycle,damaged_edge,night,hazy,mumbai_suburban,8.62,0.746,35.20,959.6,345.9,96.8,115.9,0.488,4.44,42.60,36.76,NO
motorcycle,damaged_edge,morning_rush,dusty,mumbai_suburban,9.56,0.830,27.00,77.7,485.7,89.9,89.2,0.368,4.63,32.00,37.19,NO
car,pothole_heavy,night,clear,kolkata_old,13.93,0.635,38.90,140.6,391.1,171.5,181.5,0.174,7.84,79.60,46.64,YES
bicycle,pothole_light,night,hazy,bangalore_tech,17.95,0.562,18.50,146.0,637.3,56.1,46.7,0.312,2.16,39.60,38.33,NO
truck,construction,evening_rush,dusty,bangalore_tech,20.46,0.841,20.50,1084.8,226.1,188.8,263.5,0.391,4.89,34.00,37.78,NO
pedestrian,smooth,afternoon,dusty,delhi_inner,13.18,0.867,11.90,223.8,305.5,38.1,42.1,0.187,0.61,36.70,42.76,YES
pedestrian,pothole_light,night,rainy,hyderabad_highway,7.97,0.718,7.10,1088.9,557.5,65.7,53.5,0.569,5.19,18.50,61.82,YES
autorickshaw,smooth,morning_rush,dusty,mumbai_suburban,10.93,0.710,16.70,1150.3,342.3,119.2,134.0,0.647,0.73,40.50,27.43,NO
car,pothole_heavy,morning_rush,clear,delhi_inner,9.88,0.872,11.90,415.5,242.9,197.4,261.1,0.095,6.50,84.10,35.64,NO
autorickshaw,pothole_light,night,dusty,bangalore_tech,8.46,0.808,27.40,737.9,391.3,110.7,139.9,0.303,4.58,25.70,43.36,YES
truck,pothole_light,evening_rush,clear,mumbai_suburban,20.36,0.857,23.00,817.6,355.6,230.6,281.5,0.239,2.81,69.90,22.65,NO
pedestrian,pothole_heavy,night,clear,kolkata_old,8.05,0.707,0.00,487.2,221.8,39.2,34.7,0.186,8.49,84.20,53.33,YES
autorickshaw,damaged_edge,afternoon,clear,mumbai_suburban,15.47,0.810,29.40,190.0,314.9,105.5,126.1,0.399,6.36,83.80,28.90,NO
car,pothole_light,morning_rush,hazy,bangalore_tech,16.61,0.926,23.50,477.8,439.0,178.4,224.7,0.467,4.44,48.10,30.33,NO
motorcycle,flooded,night,clear,kolkata_old,8.78,0.742,50.40,934.0,428.9,70.0,80.1,0.065,7.76,72.90,42.58,YES
motorcycle,flooded,evening_rush,clear,mumbai_suburban,18.77,0.850,26.90,955.0,215.7,56.9,75.9,0.170,5.82,89.10,34.31,NO
pedestrian,pothole_heavy,morning_rush,clear,delhi_inner,8.06,0.780,2.50,284.2,333.7,47.3,45.7,0.220,7.74,76.20,51.23,YES
truck,damaged_edge,night,clear,rural_highway,25.09,0.824,32.50,185.2,398.5,221.6,209.5,0.316,5.08,81.20,31.34,NO
motorcycle,smooth,evening_rush,rainy,bangalore_tech,7.54,0.775,21.80,1087.2,277.6,99.0,130.9,0.303,0.00,31.30,30.98,NO
e-rickshaw,flooded,evening_rush,hazy,bangalore_tech,13.55,0.729,12.80,50.9,509.6,124.1,145.8,0.335,5.52,53.00,43.61,YES
truck,pothole_heavy,evening_rush,clear,delhi_inner,23.77,0.804,14.10,765.4,422.7,238.3,190.8,0.388,7.62,80.60,36.92,NO
motorcycle,damaged_edge,night,rainy,bangalore_tech,9.74,0.637,37.10,55.2,401.8,90.8,91.9,0.174,4.66,32.10,46.80,YES
car,damaged_edge,night,dusty,kolkata_old,5.83,0.815,37.70,917.5,453.4,185.0,243.2,0.213,5.32,34.60,46.04,YES
car,pothole_light,night,foggy,kolkata_old,16.34,0.727,42.00,1012.6,352.1,161.6,131.9,0.420,2.22,14.00,40.68,NO
motorcycle,pothole_heavy,morning_rush,clear,hyderabad_highway,12.90,0.837,24.30,356.2,306.7,82.2,66.0,0.346,6.63,68.40,40.50,NO
car,damaged_edge,night,rainy,delhi_inner,16.73,0.700,30.30,80.7,422.9,189.0,183.0,0.110,6.36,30.20,53.53,YES
car,damaged_edge,evening_rush,clear,mumbai_suburban,16.00,0.934,15.90,518.2,342.1,201.9,272.2,0.403,2.59,72.90,17.25,NO
motorcycle,pothole_light,evening_rush,clear,hyderabad_highway,4.47,0.784,18.80,355.1,333.7,90.3,121.1,0.160,4.74,81.80,34.09,NO
car,damaged_edge,afternoon,clear,rural_highway,13.50,0.872,33.10,451.1,302.9,198.6,220.7,0.146,4.55,80.70,33.78,NO
bicycle,pothole_light,night,foggy,delhi_inner,12.02,0.615,12.40,814.9,382.5,54.5,61.7,0.352,4.19,20.60,46.68,YES
car,damaged_edge,night,clear,bangalore_tech,16.22,0.817,32.40,231.8,300.5,175.1,175.0,0.112,6.87,74.70,39.56,NO
autorickshaw,pothole_heavy,morning_rush,clear,mumbai_suburban,17.70,0.749,9.90,411.8,484.4,126.4,119.6,0.542,7.84,85.20,36.28,NO
motorcycle,flooded,evening_rush,clear,delhi_inner,10.34,0.938,27.80,925.4,456.9,97.4,125.6,0.253,6.75,82.40,37.51,NO
e-rickshaw,pothole_light,night,dusty,mumbai_suburban,12.61,0.571,24.00,754.6,388.2,107.8,93.1,0.458,4.07,29.10,36.65,NO
car,pothole_light,morning_rush,rainy,delhi_inner,14.87,0.758,22.90,359.3,329.2,178.8,195.3,0.447,3.87,40.30,38.18,NO
motorcycle,pothole_heavy,dawn,clear,hyderabad_highway,5.75,0.842,45.20,790.3,350.9,90.3,106.6,0.139,7.72,78.90,43.86,YES
bus,pothole_heavy,evening_rush,rainy,kolkata_old,16.84,0.778,13.50,801.2,290.4,233.1,201.0,0.271,8.84,23.30,53.81,YES
dog,smooth,evening_rush,hazy,delhi_inner,8.16,0.626,2.80,702.6,235.6,94.1,104.6,0.297,0.00,41.20,46.05,YES
cow,pothole_light,afternoon,rainy,delhi_inner,8.44,0.551,0.00,276.2,300.5,126.8,145.4,0.115,2.64,22.50,58.29,YES
motorcycle,flooded,morning_rush,clear,hyderabad_highway,7.15,0.824,20.20,0.3,346.5,51.2,63.8,0.218,6.09,86.80,36.01,NO
car,pothole_heavy,dawn,dusty,delhi_inner,7.97,0.825,35.70,883.0,392.0,180.2,169.5,0.199,8.23,40.40,51.33,YES
pedestrian,pothole_light,afternoon,clear,kolkata_old,10.00,0.859,10.20,990.9,545.4,75.5,73.7,0.392,1.81,83.70,32.55,NO
bicycle,pothole_light,night,rainy,mumbai_suburban,11.05,0.529,18.40,838.0,370.2,78.8,90.0,0.203,3.99,32.80,45.77,YES
truck,pothole_heavy,afternoon,clear,kolkata_old,20.52,0.783,29.20,80.3,387.6,231.3,321.4,0.282,6.53,86.20,29.52,NO
truck,pothole_heavy,morning_rush,hazy,mumbai_suburban,27.05,0.872,24.60,620.0,460.4,220.6,205.3,0.196,8.75,43.80,44.99,YES
motorcycle,pothole_light,morning_rush,hazy,delhi_inner,3.80,0.916,25.90,987.1,605.6,77.7,108.1,0.146,1.84,47.10,29.29,NO
pedestrian,smooth,evening_rush,hazy,mumbai_suburban,4.76,0.779,3.60,488.3,626.7,26.8,33.0,0.315,2.31,40.90,46.59,YES
car,pothole_light,dawn,clear,delhi_inner,14.85,0.922,37.70,224.5,403.9,146.1,189.3,0.397,3.59,79.20,26.08,NO
motorcycle,smooth,afternoon,foggy,bangalore_tech,16.52,0.852,40.40,703.4,468.8,82.9,70.8,0.104,0.00,22.30,34.19,NO
autorickshaw,smooth,afternoon,clear,kolkata_old,7.66,0.829,25.10,942.2,249.6,139.7,136.9,0.511,0.00,64.60,15.82,NO
autorickshaw,pothole_heavy,afternoon,rainy,mumbai_suburban,17.98,0.689,12.00,56.4,500.2,125.2,104.5,0.483,8.67,26.90,57.52,YES
motorcycle,smooth,evening_rush,foggy,delhi_inner,9.28,0.658,21.20,710.8,457.2,89.4,91.4,0.363,1.07,20.80,29.36,NO
car,construction,evening_rush,rainy,bangalore_tech,13.61,0.648,12.90,692.2,320.2,203.8,283.0,0.176,6.67,29.60,51.48,YES
truck,smooth,night,rainy,kolkata_old,19.91,0.674,32.70,635.5,425.9,224.9,194.2,0.354,0.00,27.70,29.60,NO
motorcycle,damaged_edge,evening_rush,rainy,rural_highway,9.15,0.828,13.00,781.2,391.4,78.2,88.9,0.011,3.55,32.90,41.06,NO
truck,pothole_light,evening_rush,hazy,kolkata_old,24.19,0.783,13.60,677.0,385.0,207.7,166.9,0.333,4.34,41.50,36.02,NO
car,damaged_edge,morning_rush,foggy,bangalore_tech,10.77,0.847,13.90,139.5,304.3,210.3,258.2,0.398,6.18,13.90,47.76,YES
autorickshaw,damaged_edge,dawn,clear,kolkata_old,12.22,0.723,25.70,270.7,488.8,127.9,117.5,0.166,6.34,85.90,34.28,NO
autorickshaw,smooth,morning_rush,rainy,rural_highway,10.90,0.717,11.70,726.8,574.4,105.8,92.9,0.227,0.20,35.20,32.06,NO
car,construction,morning_rush,rainy,hyderabad_highway,12.28,0.848,18.40,19.8,500.4,162.4,162.8,0.057,8.16,27.00,54.56,YES
motorcycle,pothole_heavy,evening_rush,hazy,mumbai_suburban,19.74,0.780,23.60,749.8,510.7,98.8,124.7,0.011,10.00,44.70,57.88,YES
car,pothole_heavy,evening_rush,clear,mumbai_suburban,16.29,0.890,19.30,742.3,205.2,164.4,142.1,0.125,9.43,84.20,43.29,YES
car,damaged_edge,evening_rush,hazy,mumbai_suburban,16.66,0.855,21.10,256.4,496.4,207.8,194.9,0.182,6.11,45.20,41.07,NO
e-rickshaw,flooded,evening_rush,foggy,bangalore_tech,13.36,0.651,11.80,724.5,327.7,68.7,55.3,0.123,5.03,22.70,49.97,YES
motorcycle,pothole_heavy,night,dusty,hyderabad_highway,4.16,0.754,47.90,629.5,537.5,101.3,140.0,0.042,9.16,37.40,65.09,YES
cow,pothole_light,morning_rush,hazy,bangalore_tech,14.43,0.653,0.00,295.3,268.9,147.3,170.2,0.421,4.55,43.40,50.47,YES
motorcycle,pothole_heavy,night,rainy,delhi_inner,1.00,0.759,50.50,554.7,384.3,81.8,100.7,0.421,8.78,32.60,61.10,YES
pedestrian,pothole_light,evening_rush,dusty,hyderabad_highway,4.85,0.840,0.00,1121.2,547.4,47.4,56.4,0.011,5.51,30.20,59.52,YES
pedestrian,damaged_edge,evening_rush,clear,hyderabad_highway,5.00,0.759,6.80,512.6,488.5,78.4,69.5,0.412,5.43,82.00,44.60,YES
truck,smooth,evening_rush,clear,mumbai_suburban,21.10,0.845,12.30,661.0,305.3,230.6,266.8,0.585,0.00,79.60,13.05,NO
autorickshaw,pothole_light,afternoon,rainy,kolkata_old,13.51,0.711,19.50,41.5,489.4,106.5,93.6,0.433,2.72,28.20,35.96,NO
motorcycle,pothole_light,night,foggy,bangalore_tech,8.89,0.691,47.90,95.4,454.5,54.2,56.4,0.071,3.64,13.80,48.54,YES
motorcycle,pothole_heavy,evening_rush,dusty,rural_highway,10.46,0.971,18.80,97.4,317.4,82.7,94.3,0.676,8.26,35.70,43.20,YES
bicycle,pothole_light,afternoon,hazy,hyderabad_highway,8.23,0.772,15.30,941.7,484.7,70.0,79.5,0.421,4.33,45.20,33.94,NO
cow,damaged_edge,evening_rush,clear,bangalore_tech,4.00,0.528,0.20,407.3,285.3,117.2,102.1,0.526,5.29,75.80,53.53,YES
bus,construction,dawn,hazy,kolkata_old,28.92,0.837,24.50,234.6,419.0,249.2,204.5,0.093,8.15,37.00,49.89,YES
car,flooded,evening_rush,clear,rural_highway,15.99,0.764,23.50,828.5,200.9,171.4,219.2,0.715,7.04,71.80,32.33,NO
pedestrian,pothole_heavy,dawn,clear,bangalore_tech,14.26,0.780,0.00,209.0,451.4,50.1,61.9,0.288,7.93,78.70,51.40,YES
bicycle,flooded,afternoon,foggy,mumbai_suburban,9.61,0.556,3.90,295.6,381.0,80.9,68.7,0.208,4.98,21.50,50.45,YES
car,damaged_edge,morning_rush,clear,hyderabad_highway,18.51,0.828,26.00,464.4,303.8,202.4,177.4,0.486,5.46,89.20,27.58,NO
car,damaged_edge,morning_rush,foggy,mumbai_suburban,13.01,0.727,26.90,360.1,334.8,193.6,258.6,0.124,7.70,19.80,56.12,YES
pedestrian,smooth,evening_rush,hazy,bangalore_tech,11.65,0.823,7.20,726.4,503.7,39.2,49.4,0.264,0.39,36.90,32.21,NO
truck,pothole_light,morning_rush,rainy,rural_highway,22.59,0.788,13.50,356.2,397.7,225.5,315.2,0.210,3.64,29.00,35.69,NO
cow,pothole_light,morning_rush,clear,hyderabad_highway,10.04,0.668,2.20,447.6,521.4,140.9,134.2,0.119,4.64,86.30,46.42,YES
car,pothole_heavy,dawn,clear,bangalore_tech,14.45,0.874,21.80,966.4,447.5,160.0,174.8,0.530,8.71,76.60,42.63,YES
pedestrian,pothole_heavy,night,clear,mumbai_suburban,10.81,0.625,1.90,1082.7,423.8,56.0,52.7,0.195,8.70,85.60,63.98,YES
motorcycle,pothole_heavy,night,dusty,mumbai_suburban,12.38,0.702,44.90,970.2,354.3,107.9,126.6,0.023,9.65,35.90,57.11,YES
car,smooth,morning_rush,foggy,mumbai_suburban,13.18,0.964,21.20,950.9,211.8,180.5,156.9,0.335,0.46,23.20,25.52,NO
car,damaged_edge,morning_rush,hazy,delhi_inner,10.12,0.905,22.60,640.3,337.6,156.1,136.8,0.626,6.59,54.30,35.18,NO
cow,smooth,morning_rush,clear,hyderabad_highway,9.05,0.624,1.00,736.4,540.7,140.5,118.4,0.435,0.28,70.80,38.47,NO
pedestrian,pothole_heavy,night,dusty,mumbai_suburban,14.12,0.664,11.70,695.5,384.8,31.8,38.7,0.126,9.81,39.50,67.16,YES
autorickshaw,construction,dawn,clear,bangalore_tech,14.71,0.726,23.50,901.1,372.7,133.0,145.8,0.215,8.45,79.50,45.54,YES
motorcycle,construction,evening_rush,clear,bangalore_tech,6.47,0.847,20.20,656.9,313.4,87.9,102.9,0.021,8.11,75.30,48.13,YES
dog,damaged_edge,morning_rush,rainy,rural_highway,1.12,0.622,9.30,134.7,318.0,67.4,89.5,0.682,5.95,29.50,68.16,YES
motorcycle,construction,evening_rush,dusty,bangalore_tech,14.63,0.836,17.20,975.5,226.4,75.0,93.4,0.111,9.76,43.50,55.50,YES
cow,smooth,afternoon,clear,delhi_inner,6.40,0.698,0.00,869.5,428.7,136.8,147.4,0.364,1.29,86.70,32.62,NO
autorickshaw,construction,afternoon,clear,delhi_inner,14.92,0.822,33.20,951.4,358.1,120.1,167.0,0.098,5.98,70.00,37.63,NO
motorcycle,pothole_heavy,evening_rush,dusty,kolkata_old,7.56,0.850,31.50,230.7,470.6,68.4,73.5,0.171,8.30,31.20,52.47,YES
autorickshaw,pothole_light,night,clear,kolkata_old,17.03,0.671,11.70,320.7,437.3,99.2,86.0,0.099,3.68,84.70,30.68,NO
motorcycle,pothole_heavy,morning_rush,clear,bangalore_tech,6.51,0.830,21.70,349.9,507.2,97.1,135.5,0.204,10.00,79.90,48.44,YES
pedestrian,pothole_heavy,morning_rush,rainy,bangalore_tech,12.10,0.685,2.60,627.9,563.5,44.2,36.0,0.200,9.50,29.90,67.64,YES
autorickshaw,pothole_heavy,dawn,dusty,delhi_inner,11.49,0.781,33.20,155.0,494.4,122.5,138.4,0.290,10.00,27.20,57.65,YES
motorcycle,damaged_edge,morning_rush,hazy,bangalore_tech,11.03,0.840,20.00,460.8,418.1,84.3,83.1,0.105,4.09,41.30,39.37,NO
bicycle,damaged_edge,morning_rush,dusty,bangalore_tech,2.61,0.851,9.80,219.5,354.8,74.8,82.5,0.319,6.32,28.20,52.24,YES
motorcycle,smooth,morning_rush,rainy,delhi_inner,1.76,0.654,22.40,322.4,619.3,62.4,70.8,0.460,0.00,21.70,39.18,NO
truck,pothole_heavy,morning_rush,clear,delhi_inner,18.39,0.879,16.00,766.5,218.2,194.9,184.0,0.146,6.09,73.70,34.31,NO
bicycle,flooded,afternoon,dusty,delhi_inner,13.28,0.839,22.80,1041.9,268.8,61.2,69.4,0.383,5.52,30.40,45.24,YES
pedestrian,damaged_edge,night,hazy,delhi_inner,4.74,0.777,0.00,28.0,388.8,55.9,70.1,0.077,6.81,41.20,65.70,YES
car,pothole_light,afternoon,clear,kolkata_old,10.74,0.930,32.10,628.7,419.6,169.1,162.3,0.234,2.81,75.80,21.02,NO
bicycle,damaged_edge,evening_rush,rainy,delhi_inner,11.74,0.736,8.30,43.8,203.7,64.7,66.6,0.058,4.98,35.10,45.47,YES
pedestrian,pothole_light,evening_rush,clear,mumbai_suburban,10.02,0.878,0.00,102.1,517.4,81.9,78.7,0.418,5.43,75.50,40.77,NO
motorcycle,pothole_light,evening_rush,clear,delhi_inner,8.66,0.755,30.70,865.6,452.8,52.3,67.6,0.335,5.02,87.10,35.06,NO
car,construction,night,clear,rural_highway,17.84,0.675,35.00,817.5,351.1,168.7,208.3,0.402,9.66,77.60,47.50,YES
pedestrian,pothole_light,night,hazy,rural_highway,4.90,0.714,8.90,978.0,376.3,78.4,103.8,0.320,4.00,47.20,50.33,YES
pedestrian,smooth,morning_rush,foggy,mumbai_suburban,7.10,0.604,0.00,583.6,447.0,49.3,44.5,0.192,0.00,22.40,46.72,YES
autorickshaw,flooded,night,rainy,mumbai_suburban,18.17,0.704,29.30,1006.5,269.2,109.4,92.4,0.121,4.69,25.50,44.34,YES
bicycle,damaged_edge,evening_rush,dusty,mumbai_suburban,11.36,0.823,13.30,198.9,248.2,87.5,76.3,0.594,4.56,33.40,42.06,YES
pedestrian,pothole_heavy,dawn,clear,bangalore_tech,9.72,0.774,9.60,306.9,337.4,50.8,45.6,0.588,6.68,77.50,47.49,YES
car,pothole_heavy,evening_rush,clear,delhi_inner,24.37,0.858,22.70,148.7,430.1,174.8,195.7,0.645,5.84,81.90,31.53,NO
motorcycle,pothole_heavy,dawn,clear,kolkata_old,5.14,0.816,36.70,954.7,438.5,82.9,114.6,0.122,10.00,79.40,50.82,YES
motorcycle,damaged_edge,night,clear,bangalore_tech,12.20,0.758,38.90,276.7,415.5,70.1,71.1,0.334,5.06,76.30,33.32,NO
pedestrian,pothole_light,morning_rush,clear,rural_highway,13.70,0.808,0.00,193.7,469.9,34.7,47.8,0.436,7.11,80.60,49.18,YES
car,pothole_heavy,evening_rush,foggy,delhi_inner,12.92,0.876,14.80,686.5,408.8,178.3,146.7,0.117,6.99,21.70,52.23,YES
truck,construction,dawn,dusty,hyderabad_highway,23.42,0.840,34.00,82.9,274.4,204.8,277.8,0.315,6.49,44.30,38.14,NO
pedestrian,smooth,night,dusty,hyderabad_highway,4.56,0.766,7.70,55.2,246.2,50.2,45.6,0.270,0.00,35.30,40.68,NO
dog,pothole_heavy,morning_rush,clear,delhi_inner,2.41,0.627,9.90,128.6,575.3,75.3,101.5,0.189,7.23,80.10,66.49,YES
motorcycle,smooth,night,dusty,bangalore_tech,10.44,0.723,42.90,0.3,465.5,92.8,77.4,0.153,1.05,37.10,31.95,NO
cow,damaged_edge,afternoon,clear,delhi_inner,11.73,0.730,2.00,782.8,412.9,156.9,214.8,0.437,5.68,75.30,51.51,YES
car,pothole_heavy,morning_rush,clear,mumbai_suburban,20.09,0.799,13.80,621.9,367.0,173.9,160.1,0.266,9.05,71.40,45.41,YES
cow,pothole_light,evening_rush,dusty,mumbai_suburban,14.69,0.644,3.40,237.7,483.8,147.5,144.8,0.638,5.61,33.40,51.05,YES
car,flooded,morning_rush,rainy,kolkata_old,15.31,0.841,23.00,254.6,384.1,187.4,205.1,0.373,7.33,35.40,42.27,YES
motorcycle,smooth,night,clear,bangalore_tech,13.69,0.673,45.30,969.2,223.3,84.9,87.3,0.089,0.00,86.20,23.38,NO
pedestrian,smooth,afternoon,hazy,rural_highway,7.02,0.819,1.50,620.8,617.1,42.8,51.4,0.214,0.00,35.60,37.38,NO
car,pothole_light,night,clear,delhi_inner,18.00,0.853,42.20,779.2,289.2,164.6,227.9,0.381,4.15,83.30,27.05,NO
motorcycle,pothole_heavy,morning_rush,rainy,rural_highway,11.20,0.679,27.20,539.9,257.7,87.5,101.9,0.291,10.00,19.10,62.15,YES
pedestrian,pothole_heavy,afternoon,hazy,mumbai_suburban,8.21,0.796,10.00,298.5,243.1,24.4,30.1,0.092,8.93,47.30,61.27,YES
pedestrian,pothole_light,morning_rush,dusty,hyderabad_highway,9.46,0.791,2.80,1197.5,546.4,46.0,39.2,0.139,4.13,37.00,49.25,YES
pedestrian,pothole_heavy,morning_rush,clear,mumbai_suburban,1.77,0.767,0.00,712.7,549.5,20.0,23.5,0.320,8.81,71.40,65.42,YES
pedestrian,pothole_heavy,morning_rush,hazy,delhi_inner,3.54,0.938,1.20,163.7,541.6,30.0,32.1,0.482,7.28,50.00,56.15,YES
truck,flooded,morning_rush,hazy,rural_highway,21.74,0.804,9.50,435.8,424.0,206.8,275.4,0.597,6.31,53.70,44.03,YES
motorcycle,construction,evening_rush,hazy,mumbai_suburban,3.14,0.880,26.60,389.8,346.7,96.5,99.6,0.119,8.15,44.70,52.51,YES
motorcycle,damaged_edge,afternoon,clear,kolkata_old,12.34,0.796,31.20,254.7,430.6,90.3,109.1,0.238,4.97,80.70,37.71,NO
car,flooded,evening_rush,rainy,kolkata_old,18.08,0.779,20.70,1034.5,422.5,171.7,160.9,0.382,5.09,37.40,37.39,NO
bicycle,pothole_heavy,afternoon,dusty,bangalore_tech,13.23,0.756,0.00,1056.3,633.6,80.9,77.3,0.530,7.91,29.40,51.00,YES
truck,construction,night,dusty,bangalore_tech,15.83,0.760,34.90,208.4,287.7,233.3,239.3,0.133,6.62,29.50,49.73,YES
motorcycle,pothole_heavy,dawn,foggy,hyderabad_highway,15.56,0.795,33.40,423.4,624.4,77.6,76.2,0.137,6.37,15.80,50.12,YES
autorickshaw,construction,evening_rush,dusty,delhi_inner,20.20,0.874,11.60,900.1,263.3,99.2,94.5,0.006,6.31,35.20,45.77,YES
bicycle,construction,afternoon,rainy,kolkata_old,10.94,0.872,23.20,252.9,554.9,66.9,55.5,0.443,5.33,30.20,38.72,NO
car,damaged_edge,morning_rush,foggy,rural_highway,16.47,0.795,20.20,651.6,382.0,178.5,232.5,0.565,3.52,17.20,39.97,NO
truck,construction,dawn,clear,delhi_inner,20.28,0.810,35.10,754.7,486.7,201.5,169.0,0.076,5.63,78.50,33.11,NO
autorickshaw,smooth,morning_rush,hazy,delhi_inner,14.85,0.807,11.60,755.0,210.1,125.5,167.2,0.410,1.14,42.30,27.57,NO
truck,pothole_light,afternoon,clear,hyderabad_highway,18.21,0.834,35.80,745.8,225.3,224.2,196.2,0.357,5.79,77.50,35.43,NO
car,pothole_light,afternoon,hazy,bangalore_tech,14.30,0.936,34.20,772.7,225.3,186.7,156.7,0.329,2.16,41.20,32.35,NO
dog,smooth,afternoon,clear,bangalore_tech,9.71,0.522,5.70,1163.4,458.3,74.2,84.4,0.260,1.90,76.20,48.12,YES
bicycle,pothole_heavy,morning_rush,dusty,delhi_inner,19.41,0.892,9.80,415.5,459.8,80.9,89.2,0.170,6.65,25.00,48.59,YES
truck,damaged_edge,night,clear,bangalore_tech,14.91,0.795,23.00,933.7,455.6,217.3,237.9,0.056,5.90,78.90,35.43,NO
pedestrian,construction,morning_rush,clear,delhi_inner,7.76,0.699,6.00,26.8,414.8,53.0,60.7,0.401,7.31,70.20,50.97,YES
bicycle,pothole_heavy,evening_rush,hazy,bangalore_tech,5.96,0.707,7.10,350.4,231.1,64.0,62.3,0.333,8.76,48.80,49.95,YES
pedestrian,damaged_edge,morning_rush,clear,hyderabad_highway,13.36,0.849,1.50,60.3,298.6,41.2,49.4,0.295,3.60,77.20,33.82,NO
car,construction,morning_rush,clear,mumbai_suburban,12.95,0.951,12.70,703.3,202.4,200.1,220.4,0.420,4.83,79.40,27.53,NO
truck,construction,dawn,clear,bangalore_tech,16.15,0.774,28.70,109.9,456.7,189.3,189.5,0.080,6.04,78.10,35.78,NO
truck,construction,morning_rush,hazy,rural_highway,21.52,0.893,16.20,885.3,377.7,233.2,302.1,0.632,7.51,43.80,44.53,YES
autorickshaw,smooth,night,hazy,kolkata_old,19.21,0.541,32.10,756.1,582.3,110.7,136.9,0.574,2.35,51.30,29.98,NO
pedestrian,construction,evening_rush,foggy,hyderabad_highway,10.76,0.743,2.20,35.8,397.8,38.7,40.2,0.087,5.76,13.20,61.74,YES
bicycle,damaged_edge,morning_rush,rainy,bangalore_tech,10.28,0.770,5.90,862.1,208.2,73.9,96.7,0.272,4.88,21.90,44.02,YES
bicycle,pothole_heavy,dawn,hazy,hyderabad_highway,13.11,0.717,6.40,1062.3,306.9,47.7,64.4,0.716,7.10,45.60,38.60,NO
autorickshaw,smooth,morning_rush,clear,delhi_inner,15.56,0.690,11.70,775.0,434.6,107.8,120.9,0.446,0.00,77.50,21.32,NO
car,damaged_edge,night,clear,delhi_inner,13.43,0.797,42.40,34.0,550.7,167.3,155.4,0.480,2.68,81.80,25.12,NO
e-rickshaw,pothole_heavy,morning_rush,foggy,mumbai_suburban,10.73,0.594,13.10,1006.6,238.9,106.7,144.0,0.302,9.80,23.60,64.76,YES
cow,damaged_edge,night,clear,bangalore_tech,6.81,0.600,0.90,843.8,249.0,127.9,116.9,0.278,5.03,74.50,56.04,YES
car,damaged_edge,morning_rush,clear,hyderabad_highway,10.18,0.827,24.60,407.2,446.2,204.0,169.1,0.287,6.10,83.00,32.70,NO
bicycle,pothole_heavy,evening_rush,foggy,mumbai_suburban,9.50,0.615,8.00,388.8,482.5,97.0,96.6,0.193,7.72,14.90,56.59,YES
dog,smooth,night,hazy,kolkata_old,9.45,0.419,0.20,595.1,318.0,39.7,49.0,0.298,0.23,45.40,49.48,YES
autorickshaw,damaged_edge,dawn,clear,hyderabad_highway,13.60,0.790,27.40,998.8,481.7,128.2,173.5,0.438,6.35,73.80,40.80,NO
truck,smooth,dawn,clear,kolkata_old,21.71,0.840,32.50,263.9,231.5,232.9,275.4,0.135,0.16,80.70,18.67,NO
motorcycle,pothole_heavy,night,dusty,mumbai_suburban,10.88,0.646,36.50,120.3,569.5,88.1,120.9,0.339,8.20,34.90,56.77,YES
car,pothole_heavy,night,dusty,kolkata_old,15.82,0.790,30.20,959.6,275.3,170.1,145.5,0.261,7.05,29.50,47.04,YES
motorcycle,pothole_light,morning_rush,rainy,mumbai_suburban,8.24,0.838,20.50,31.6,237.1,76.3,63.9,0.233,3.36,23.20,42.88,YES
cow,construction,afternoon,hazy,delhi_inner,8.85,0.637,0.00,1048.8,325.7,128.8,149.7,0.100,5.78,48.80,60.64,YES
car,pothole_heavy,afternoon,hazy,rural_highway,15.60,0.896,26.30,338.2,252.7,173.7,239.6,0.468,7.11,42.70,42.72,YES
motorcycle,damaged_edge,afternoon,dusty,delhi_inner,12.03,0.836,41.20,619.1,438.1,61.9,68.1,0.257,6.50,40.10,43.40,YES
